Question,Answer,Class,
What is a json file that describes the deployed contract and its functions and allows to contextualize the contract and call its functions .?,ABI is a json file that describes the deployed contract and its functions and allows to contextualize the contract and call its functions.,ABI,
ABI helps in .?,"ABI helps in All of the functions Names of our smart contract , input and output types for each function , Events Names along with parameters.",ABI,
define smartcontract life cycle,"The order is write , compile , deploy , execute.",life cycle,
Hot wallet is a online storage wallet which can be accessed through webportal .?,"Hot wallet is a online storage wallet Which can be accessed through webportal
Coldwallet is offline storage wallet Which cannot be accessed through webportal.",wallet,
where as gas used is the total gas that is spend during the execution of transaction .?,"The calulation for transaction cost is (gas used * gas price) , where as gas used is the total gas that is spend during the execution of transaction , gas price is the price in ether pf one unit of gas specified in the transaction.",gas,
what is total supply cap for Ethereum.?,The supply cap for Ethereum is 18million every year.,supply,
what ensures that all the faulty and malicious nodes participate in a consensus mechanism and eventually produce a result,Liveness,liveness,
A DAO cannot have any employees working for the organization,"A DAO, though decentralized and autonomous, needs to employ a few people to perform tasks which cannot be performed by automation. Smart contracts in the DAO guide the actions of these employees",DAO,
A decentralized application built on Ethereum but has its front-end on a central server is a truly decentralized application,This might lead to centralization as the data displayed to the user can be manipulated,centralization,
A decentralized application built on Ethereum getting data from an untrusted oracle is a truly decentralized application,This might lead to centralization as the oracle might manipulate the data sent to the blockchain,centralization,
A distributed network to tolerate 2 byzantine faults needs atleast how many nodes?,The network requires 3F+1 nodes to tolerate f Byzantine faults in a Practical Byzantine Fault Tolerant System,byzantine,
A public key in a cryptocurrency wallet is used to,Public key is used to send and receive money between wallets whereas private keys are used to sign transaction,public key,
A simple example of a Decentralized Application or DApp is?,BitTorrent and Popcorn are examples of DApp as they do not have any central authority,dapps,
"After the DAO attack, Ethereum blockchain split into","After the DAO attack, Ethereum blockchain split into Ethereum and Ethereum Classic",DAO,
All distributed systems like CDN are decentralized,"A distributed system might have a central controller where decisions are taken by them but in a decentralized system, there is no one party who controls the network",decentralization,
All honest nodes in a network agrees on the same set of data. This pertains to which condition before forming consensus?,"Consensus is achieved when all honest nodes in a network agree upon the same set of data. In bitcoin, this is achieved through mining. This property of consensus is known as Agreement",consensus,
"Among the below protocols, which one is NOT derived from the solution to the Byzantine General's Problem?","RAFT, Paxos, BFT, PBFT, Viewstamped Relication etc., are examples of protocols derived from the solution to Byzantine General's problem",byzantine,
An example of programmable blockchain is,"Ethereum, NEO, EOS, Cardano etc., are programmable blockchains as smart contracts can be programmed on the blockchain",programmable,
An ICO is an example of which type of Decentralized Application?,Semi-Financial DApps use both financial and outside information to perform transactions,dapps,
An organization cannot issue its own bonds for investors to invest in it using a smart contract,They can. This is an example of a Distributed Autonomous Business Unit,dao,
Any proposal and implementation made to the DAO is known to all the parties in the DAO,"This is an advantage of DAO wherein because of the transparency feature of blockchain, all the investors would be notified about any proposal and implementation made in the blockchain",dao,
Bitcoin is an example of which type of Decentralized Application?,Financial DApps help the users in managing their finance and savings,dapps,
Blockchains do not have the ability to get data from the real-world or external networks. Which of the below is used to get third party information?,Paper wallets and hardware wallets are cold wallets as they are not vulnerable to hack through the internet,wallet,
DAOs are usually funded by,DAOs provide tokens to the investors through the Initial Coin Offering (ICO) process,ICO,
DApps are fault tolerant and does not have the problem of Single Point of Failure because of?,DApps are run on multiple decentralized nodes in a network,dapps,
Digital Signatures in a transaction are used to ,Digital Signatures help in verifying the transaction and the sender. It provides verification and non-repudiation,signature,
Every blockchain with a consensus mechanism needs a native asset called a cryptocurrency associated to it,"Not every business requires cryptocurrencies and might only want to use the blockchain technology with a consensus mechanism. ex., Hyperledger",hyperledger,
"If there is a hack which results to loss of millions of dollars because of a vulnerable smart contract code or wallet code, it is a hack in what?",Any hack that happens due to vulnerable code in smart contract cannot be termed as a hack in the blockchain protocol,hack,
"In a DAO, the proposals are implemented in the organization by the process of","Whenever there is a proposal in the organization, it goes for a voting by the stakeholders and implemented if vote is successful",voting,
"In a dstributed system, which of the below faults mostly occur due to hardware of software crashes?",Fail Stop faults prevent nodes from participating in a consensus mechanism. These faults mostly occur due to hardware or software crashes,fault tolerant,
"In a traditional consensus approach, what is the formula to calculate the number of nodes to tolerate f fail-stop failures?",The network requires 2F+1 nodes to tolerate f fail-stop faults in a traditional Fault Tolerant System,mining,
"In bitcoin network, the miners who authenticate transactions on behalf of the network are rewarded with?",The miners are rewarded with Bitcoins for every successfully mined block,mining,
"In Delegated Proof of Stake algorithm, stakeholders do not perform the validation. Instead, they choose a validator or delegate to validate the transactions",DPoS is a consensus mechanism where the stakeholders use their stake to choose a validator. They have a fixed time limit before which they need to add a block.,consensus,
"In Proof of Authority consensus algorithm,how is the node selected",validator's identity,consensus,
"In Proof of Work consensus algorithm, after a hash is computed and broadcasted to a network, it is easy for other nodes to verify the hash is valid",PoW hashing has a condition that needs to be satisfied and hence finding the hash is difficult but verifying the same is easy and quick,consensus,
In what consensus algorithms does the time of achieving consensus is based on time rate provided through a Trusted Execution Environment (TEE)?,Proof of Elapsed time uses a TEE and it ensures that the blocks are generated in a random manner based on the time rate provided by the TEE,consensus,
In what consensus mechanism does the stakeholder invest the underlying cryptocurrency so be able to participate as a validator of transactions?,Cryptocurrency is staked to have a chance to be a validator in PoS based systems,consensus,
IPFS is the abbreviation of,inter planetary file system,storage,
It is impossible to manipulate the data in a DApp for personal benefits. This property is called as ,It is impossible to manipualte data in a distributed and decentralized network due to the immutability properties of blockchain,immutability,
Joining the mining pool would be profitable when,"Because of the difficulty of the bitcoin hashing algorithm, mining with a standalone system is not profitable anymore. Hence, joining a mining pool with more combined hashing power will prove profitable",mining,
"Once a transaction is executed based on a smart contract condition,","Once a transaction enters the blockchain, the variable states can be altered with a new transaction but there is no way to change an existing transaction",immutability,
One example of a Blockchain that provides a quantum safe cryptographic algorithm is,iota,quantum proof,
One major problem with Proof of Stake consensus algorithm is,Nothing at stake because the network does not penalize the nodes which authenticate more than one history and hence a network can vote for multiple blocks leading to a fork,consensus,
One of the ways to make a DApp truly decentralized is to store the front-end code in,IPFS,decentralization,
"Oracles can provide trustless ownership of of an asset. for ex., it can prove that a piece of land has been physically transferred to the owner",Oracles do not have the capability to provide a trustless ownership of an asset in the real world,oracles,
Proof of Authority algorithm is mostly preferred in which type of blockchain?,Proof of Authority consensus algorithm required that all nodes are known and authenticated in the network which is possible in permissioned networks and not public,consensus,
RFID data from a supply chain system is an example of which type of oracle?,Hardware oracles are the sensors deployed in real world integrated with tangible or physical assets,oracles,
The error in the code of 'The DAO' can be expressed as,The error which led to the DAO attack is called recursive call error where the contract allowed for recursive calls to a particular function,dao,
The only way to create new bitcoins or any other cyrptocurrency is,Mining is the only process by which new cryptocurrencies are released in the system in a Proof of Work algorithm based blockchain,mining,
The process of converting a physical asset into pieces so that they can be traded and liquidated is called,Tokenization is the process of converting a physical asset into tokens so they can be traded,tokens,
What does Fault-Tolerant property of consensus mean?,Fault Tolerance means that the distributed system should run smoothly even in the presence of Faulty or Malicious nodes,fault tolerant,
Which is the major disadvantage of Proof of Work consensus algorithm?,consume lot of power,power,
what are the disadvantages of DAOs?,"While most countries have a legal framework about cryptocurrencies, the framework for DAO is still unclear. Also, a DAO is only as good as its code. if there is a problem with the code, the DAO will fail",dao,
"what can be called as 'representation of a wide range of scarce assets like currencies, security, loyalty points, property, gift certificates etc.,?","Accoridng to Vitalik Buterin, Tokens are representation of a wide range of scarce assets like currencies, security, loyalty points, property, gift certificates etc",tokens,
Which is a costly type of wallet?,Hardware wallets like Ledger Nano and Trezor cost 70-150 USD but very secure,wallet,
what is a crowdfunding tool used by DApp developers to raise required funds for a project?,ICO or Initial Coin Offering is a type of crowdfunding tool used by DApp developers to rause required funds for a project,ICO,
what is a representation of something of value in a specific ecosystem?,"A token is a representation of something in a specific ecosystem. They can be used only in that particular ecosystem and not outside ex., Golem",tokens,
what is an organization that can function properly without any conventional management structure with deep hierarchy?,DAO (Decentralized Autonomous Organization) are organizations that function properly without any conventional management structure,dao,
what is not a common consensus mechanism used in blockchains?,"Proof of Work, Proof of Stake, Proof of Elapsed Time, Proof of Authority etc are some commonly used consensus mechanisms in blockchains",consensus,
what are the features of cryptocurrency?,Cryptocurrencies are decentralized and are not governed by any central authority like a bank,cryptocurreny,
what is not a function performed by a miner in a blockchain,Miners are not responsible for creating the code of a blockchain protocol,mining,
what is not a property of bitcoin?,Bitcoin is a DAO which operates without a management structure through decentralization and game theory,dao,
what is the usage of tokens in a blockchain system?,"Tokens can be used as a currency, network fuel or network economics in a blockchain system",tokens,
what properties provides a mechanism to verify the identity of the actual sender so that the sender cannot repudiate the fact that the message was not sent from this network?,Non-repudiation is the property which ensures this. Achieved using Digital Signatures.,immutability,
what type of oracles require multiple sources of information?,Consensus basd oracles get information form multiple sources and the consensus is shared to the blockchain,oracles,
what type of tokens provide future access to an organization's products and services?,Utility tokens provide future access to an organization's products and services,tokens,
"what type of tokens represents ownership of an asset in a blockchain like equities, bonds etc?","Security tokens are a type of token which represents ownership of an asset like equities, bonds etc.,",tokens,
what types of wallet is a Cold wallet?,Paper wallets and hardware wallets are cold wallets as they are not vulnerable to hack through the internet,wallet,
Which of the properties of consensus mechanism ensures fault tolerance if the participant nodes recover from failure and participate in the consensus mechanism,A consensus mechanism is considered fault tolerant if the network can tolerate faulty nodes but still achieve consensus,consensus,
what is the browser of dapps ,MIST,browser,
What is the process by which new currency is added to blockchain,mining,mining,
what provides the decentralized P2P messaging capabilities in ethereum network,whisper,messaging,
what is required to be paid for every operation performed on ethereum blockchain ,gas,gas,
1 ETH in wei,10 power 18,denominations,
Blockchain as a data structure is closest to which of the below options?,Linked List,hash,
command to create new account,personal.newAccount,command,
command to get balance of miner or account,miner.getBalane(),command,
command to get latest block number,eth.blockNumber,command,
command to set etherbase ,miner.setEtherbase(),command,
component which allows interaction with gethv via RPC calls,web3.js,rpc,
current reward for solving a block,5ETH,gas,
each transaction specifies the amount of gas for execution.what happens if its out of gas,transaction fails to execute,address,
ethereum address has how many bytes long and starts with ,20 and 0x,mining,
geth commands to start and stop mining ,"miner.start(4), miner.stop()",command,
list some commands in web3.personal library,personal.getListacounts,command,
make a dictionary or hashtable where string values are mapped to integer values,mapping(string=>uint)values,mapping,
name some important truffle commands,"truffle init
truffle compile
truffle test
truffle console",truffle,
name some mining methods,"proof of stake , proof of work , proof of authority",consensus,
network id for ethereum networks,"main net 1
ropsten 3
kovan 42 ",networks,
on which protocol ethereum consesus mechanism is based out of ,GHOST ,protocol,
swarm is a decentralized distributed and p2p ____ network,storage,storage,
various ethereum clients,go-ethereum,geth,
what are the types of networks in ethereum ,"mainnet, test net , private nets",networks,
what are two types of storage available to contracts and EVM ,memory ( like ram ) and storage (parmenant Key value store),storage,
what are value types in solidity,"boolean, uint , int,address,send,balance",datatypes,
what is EVM ,"EVM is ethereum virtual machine ,its a stack based execution machines that runs bytecode in order to transform system state",EVM,
what is the stack size of EVM and what queue is it based out of ,1024 elements(32byte word size) and LIFO last in first OUT,EVM,
what is the tool to test and deploy contracts on ethereum ,truffle,truffle,
whats does a digitally signed transaction using private key contains,"nounce,gasprice,gaslimit,to,value , signature etc",private key,
A good example of stream ciphers is ,RC4 is among the most popular stream cipher algorithms.,algorithms,
A stream cipher encrypts data ,A streamcipher encrypts data bit by bit using keystream generators. The generators build a bit stream using the XOR operation with the plain text bits.,streamcipher,
"After a blockchain transaction is verified, what is the next operation in sequence?",each valid transaction is taken and added to a potential block.,ledger,
Bitcoin currently uses which database internally for storing it's data,"Bitcoin earlier used BerkeleyDB, but then moved to Google LevelDB ",database,
Bitcoin handles double spending by,Bitcoin handles double spending by using a confirmation mechanism (typically 6 blocks) and a distributed ledger,Double spending,
Bitcoin uses which hashing algorithm to link blocks to each other,"Bitcoin mining uses cryptography, with a hash function called SHA-256",algorithms,
Bitcoin/Ethereum are examples of ,"Since anyone can join a bitcoin/ethereum network and all participants have same level of access (read/write), it is called as a permisionless blockchain",permissonless,
Bittorrent is an example of which of the below choices?,Bittorrent is a network with all nodes having same privileges and it is also distributed in nature. Hence it is an example of a decentralized network.,decentralization,
Block height refers to ,number of blocks in blockchain,block,
Blockchain as a data structure is closest to which of the below options?,A Reverse linked list has nodes which each point to the preceding node. This is most analogous to the concept of a blockchain node pointing to it's predecessor node.,hashing,
Blockchain is a replacement for distributed databases?,"Though blockchain can replace distributed databases in some scenarios, it is not a good replacement for distributed databases where either large files need to be stored, or the transaction speed needs to be in thousands of transactions per sec. However, this might change over time.",database,
Blockchain networks are,"Since all nodes in the blockchain network perform the same operations and keep the same interfaces and data structures, they are termed as ""logically centralized"".",centralization,
Browsers typically use which type of certificates,SSL/TLS X.509 is the standard for browser communication ,certificates,
Can a bitcoin transaction be reverted under normal circumstances?,"Once a transaction enters the blockchain, it is impossible to revert this transaction normally. ",immutability,
Difficulty target for Bitcoin is,Difficulty target for Bitcoin is re-calculated every two weeks to account for any changes in hash power of the network and to bring the block time to around ten minutes per block,blocktime,
Digital signatures involve,"The document being digitally signed is hashed, and this hash is then encrypted using the sender's private key. This works for non-repudiation.",signature,
How is a bitcoin transaction validated as authorized by the sender?,The digital signature that is used to sign the transaction by the sender is verified by the miner network using the public key of the sender.,signature,
How is a blockchain formed from individual blocks?,A blockchain is a good example of a REVERSE-linked list where each node points to it's earlier node.,hashing,
How is the fingerprint of a block calculated?,A hash of a block is nothing but a cryptographic fingerprint to detect tampering.,tamper,
How many transactions on an average can be stored in a Bitcoin block?,"Bitcoin today has a max. size of around 2 MB, with a practical range of 500 to 3500 tx in each block.",transactions,
"In 2019, which exchange faced a loss of 7000 bitcoin?",Binance faced a hack on it's hot wallet where the hackers used a series of techniques such as phishing and viruses to obtain large amount of user data and commit the hack,hack,
"In a banking scenario where Alice is trying to transfer money to Bob, what is the role of the bank",Banks enable trust between non-trusting parties and validate the transactions to ensure that transaction is allowed or not.,banking,
"In a bitcoin transfer scenario where Alice is trying to transfer bitcoin to Bob, what enables trust?",Each of these properties enables a part of the trust that powers bitcoin network.,trust,
"In a DApp, what is the backend of the application?",A DApp uses smart contracts which are deployed onto the blockchain to store data and transform it. This is nothing but the backend of the DApp,dapps,
in Asymmetric key cryptography ...,The private key is generated using a pseudo-random algorithm and the public key is derived from the private key.,private key,
In distributed computing systems,A distributed computing network tries to parallelize computation by splitting a complex calculation into various parts and executing these on several computers at the same time. ,distributed technology,
In ECC(Elliptic curve cryptography),"in ECC, Private key is generated using pseudo-random algorithms. The public key is generated using the Elliptic Curve equation.",ECDSA,
One bitcoin equals how many Satoshi?,10 power 8,denominations,
Paper money was introduced by which dynasty,Paper money was introduced by Song dynasty in 800 AD.,currency,
Paper notes were introduced in Europe by which Bank,Stockholms Banco (also known as the Bank of Palmstruch or Palmstruch Bank) in Sweden was the first European bank to print banknotes.,currency,
RSA encryption typically uses what key size?,RSA encryption typically uses either 1024 or 2048 bits for its key length,RSA,
Scalability trilemma is including which factors ,"Scalability, Decentralization and Security are the three factors mentioned by Vitalik Buterin in his ""BLockchain Trilemma"" consideration.",trilemma,
Symmetric key encryption uses,symmetric key encryption uses a single key for both encryption & decryption,symmetric,
What are examples of unkeyed crypto-primitives?,"Hashes and Pseudo-random numbers are created with only the input data, without the necessity of a key",unkeyed,
What is a message digest?,"A message digest is a fixed size numeric representation of the contents of a message, computed by a hash function. ",hash,
What is an example of Substitution cipher?,All these are substitution ciphers with varying degrees of complexity.,substution,
What is Fiat currency?,Fiat means order issued by an authority figure. Fiat currency is only legal because of the government's order that it is valid.,fiat,
what is meaning of cipher text?,Cipher text is nothing but the output of the encryption process which is the encrypted text,encryption,
What is the significance of the magic number in the bitcoin block header?,It is an identifier for the particular bitcoin network,encryption,
What is used to create a single distributed ledger?,All these building blocks are required to create a single distributed ledger.,magic,
What other cryptocurrencies followed soon after Bitcoin's success?,Namecoin and LiteCoin were launched in 2011 after the visible success of Bitcoin,cryptocurreny,
What problems were faced by Digital money in the 90s?,"Digicash, Cybercash, E-Gold, Liberty Reserve faced these two issues of need for centralized intermediary and expensive fees for cross-border payments",Double spending,
What was the main issue with decentralized digital currencies before Bitcoin?,Earlier decentralized currencies couldn't solve the issue of double spending without using a trusted third party and centralization,Double spending,
Where is the previous block hash stored in current block?,It is stored in the header section of the block.,block,
Which Hyperledger solution is created by Intel,hyperledger sawtooth,sawtooth,
Which type of money was based upon various real-world products of value being used for trade?,"Commodity money is where any commodity of value such as Gold,Silver, Grain, Rice, Salt, seeds could perform the function of money.",commodity,
Which was the largest bitcoin exchange which got shut down in 2014,"In Feb. 2014, Mt. Gox was hacked leading to the loss of 850,000 bitcoins with a value of 450 million dollars at that time.",hack,
